tgt_Y,tgt_M,tgt_D,tgt_tz,temperature,humidity,windspeed,winddirection,6hrain,6hsnow,rainprobability,raintype,seawave,skystatus,hk1_numberofturbineinuse,hk1,hk2_numberofturbineinuse,hk2
2014,1,7,5,9.4,82,5.2,74,1,0,60,1,0.5,4,0.722222222,20.22777778,3.777777778,372.3833333
2014,1,7,6,9.3,87,5.7,55,10,0,80,1,0.5,4,0.111111111,3.227777778,1.055555556,71.223
2014,1,7,7,8.4,90,7.1,47,10,0,90,1,0.5,4,0,0,0.944444444,53.85666667
2014,1,8,0,8.9,90,9.2,26,20,0,90,1,1.5,4,0.222222222,4.461111111,1.944444444,194.592
2014,1,8,1,7.6,85,9.9,15,10,0,90,1,1.5,4,1.888888889,170.9555556,5,1388.154667
2014,1,8,2,6.9,80,10.2,3,5,0,57,1,1.5,4,2.5,3541.4,4.611111111,12223.62967
2014,1,8,3,5.3,76,12.9,351,0,0,29,0,2,4,3,4562.438889,5,14994.815
2014,1,8,4,4.9,81,13.8,351,0,0,30,0,2,3,3,4561.405556,5,14845.203
2014,1,8,5,3.9,63,14.4,346,0,0,30,0,2.5,4,2.944444444,4448.416667,5,15003.684
2014,1,8,6,3,55,16.200001,344,0,0,20,0,2.5,3,3,4560.161111,5,14999.96867
2014,1,8,7,2.6,50,15.6,336,0,0,20,0,2.5,3,3,4562.311111,5,14843.577
2014,1,9,0,1.9,60,15.7,343,0,0,20,0,2.5,3,2.944444444,4456.211111,5,15000.90067
2014,1,9,1,1.5,58,15.8,348,0,0,26,0,2.5,3,3,4559.883333,4.666666667,13776.398
2014,1,9,2,1.5,60,13.5,347,1,0,57,2,2,3,3,4553.138889,4.444444444,13180.33633
2014,1,9,3,0.9,60,14.7,344,1,0,57,2,2,3,2.888888889,4308.888889,5,14862.12867
2014,1,9,4,1,65,15,354,1,1,57,3,2,3,3,4331.666667,5,14951.49933
2014,1,9,5,0.9,65,12,348,1,1,60,3,1.5,3,2.888888889,4230.461111,5,14843.945
2014,1,9,6,1,65,9.4,351,1,1,48,3,1.5,3,2.777777778,4129.322222,5,14656.3
2014,1,9,7,2,65,9.4,338,0,0,28,0,1,3,3,4147.916667,5,12812.51967
2014,1,10,0,3,60,9.5,338,0,0,20,0,1,3,2.944444444,3361.738889,5,10023.71467
2014,1,10,1,3.8,55,7.4,330,0,0,20,0,1,3,2.166666667,2139.177778,5,8490.837333
2014,1,10,2,5,55,7.2,320,0,0,20,0,0.5,3,2.444444444,2230.444444,5,8274.64
2014,1,10,3,3.9,65,7.5,325,0,0,20,0,0.5,3,3,1374.722222,5,3302.752
2014,1,10,4,4.2,67,8.3,347,0,0,20,0,0.5,3,2.833333333,1030.572222,4.944444444,2559.536667
2014,1,10,5,4,62,6.6,349,0,0,20,0,0.5,3,2.388888889,532.1944444,5,1657.889667
2014,1,10,6,3.5,60,7.6,341,0,0,20,0,0.5,3,1.777777778,147.1388889,4.777777778,674.033
2014,1,10,7,3.9,55,7.7,341,0,0,20,0,0.5,3,2.833333333,894.8777778,5,2453.959333
2014,1,11,0,4.9,60,6.4,2,0,0,20,0,0.5,3,3,1333.655556,5,3425.509667
2014,1,11,1,6,55,6.3,20,0,0,20,0,0.5,3,3,2546.527778,5,6428.284333
2014,1,11,2,6.6,50,4.5,1,0,0,20,0,0.5,3,2.944444444,2721.777778,5,7286.610667
2014,1,11,3,5.6,55,4.8,349,0,0,20,0,0.5,3,3,2819.188889,5,7852.264333
2014,1,11,4,4.7,55,5,351,0,0,20,0,0.5,3,3,2339.033333,4.722222222,5773.587667
2014,1,11,5,4.2,60,5,351,0,0,20,0,0.5,3,2.833333333,1186.638889,4.888888889,3529.01
2014,1,11,6,3.4,60,4.3,326,0,0,20,0,0,3,3,747.4055556,5,2154.136
2014,1,11,7,2.9,60,5.2,323,0,0,20,0,0.5,3,3,678.0277778,5,1931.688667
2014,1,12,0,5.7,60,5.1,350,0,0,20,0,0.5,3,2,291.3055556,4.888888889,1383.561667
2014,1,12,1,6.9,58,5.4,345,0,0,20,0,0.5,3,1.777777778,606.5222222,5,2638.181
2014,1,12,2,7.9,60,6.9,327,0,0,20,0,0.5,3,2,1383.844444,5,6343.122667
2014,1,12,3,6.9,60,7.5,340,0,0,20,0,1,3,2.5,1258.333333,5,4049.229333
2014,1,12,4,4.6,60,10.3,352,0,0,20,0,1,3,3,1530.15,5,3532.377333
2014,1,12,5,3.7,60,10.5,349,0,0,20,0,1.5,3,3,3033.633333,5,6842.977333
2014,1,12,6,2,60,10.3,344,0,0,20,0,1.5,3,2.944444444,4273.616667,5,13138.099
2014,1,12,7,1.9,60,10.3,348,0,0,20,0,1.5,3,3,4196.088889,5,12941.524
2014,1,13,0,2.3,60,9.4,356,0,0,20,0,1.5,3,3,3672.438889,5,9408.563333
2014,1,13,1,2.9,55,9.1,360,0,0,20,0,1.5,3,2.166666667,2911.138889,5,12772.778
2014,1,13,2,2.9,55,7.1,359,0,0,20,0,1.5,3,2.444444444,3417.55,5,13476.67633
2014,1,13,3,2.3,55,7.4,359,0,0,20,0,1.5,3,2.944444444,4332.833333,5,14357.75133
2014,1,13,4,0.8,46,7.6,22,0,0,17,0,1,3,2.944444444,3866.955556,5,11501.58333
2014,1,13,5,0.9,46,7.3,20,0,0,10,0,1,2,3,3752.538889,5,10092.71867
2014,1,13,6,1,51,8.3,17,0,0,10,0,1,2,3,3322.888889,5,8745.194667
2014,1,13,7,1.1,51,8.3,19,0,0,10,0,1,2,2.888888889,2307.783333,4.888888889,6215.128333
2014,1,14,0,2.5,49,8.7,13,0,0,10,0,1,2,3,3847.944444,5,10866.55433
2014,1,14,1,4.5,44,9.7,23,0,0,10,0,1,2,3,3277.355556,5,8520.341667
